TargetName	DSP-1010474710004-A04	DSP-1010474710004-A06	DSP-1010474710004-A08	DSP-1010474710004-A10	DSP-1010474710004-A12	DSP-1010474710004-B02	DSP-1010474710004-B04	DSP-1010474710004-B06	DSP-1011206234567-H08
A1BG	5.78560518254057	4.77071996276736	3.17147976618551	3.89805726470524	4.72005514510852	3.34313466741609	4.0497929725927	9.42639138193392	5.55771257382777
A1CF	5.93024531210408	6.20193595159757	6.34295953237102	3.89805726470524	4.72005514510852	6.68626933483219	4.0497929725927	7.06979353645044	3.96979469559126
A2M	32.5440291517907	26.7160317914972	34.8862774280406	23.3883435882315	31.374484199839	60.1764240134897	28.3485508081489	18.8527827638678	16.6731377214833
A2ML1	5.64096505297705	5.72486395532083	4.75721964927827	7.79611452941049	5.55300605306885	1.11437822247203	4.0497929725927	4.71319569096696	3.17583575647301
A3GALT2	4.91776440515948	4.29364796649062	4.75721964927827	3.89805726470524	5.55300605306885	5.57189111236015	8.09958594518539	2.35659784548348	2.38187681735476
A4GALT	5.64096505297705	4.77071996276736	9.51443929855653	3.89805726470524	5.27535575041541	6.68626933483219	4.0497929725927	4.71319569096696	7.14563045206427
A4GNT	5.06240453472299	9.06436792925798	14.2716589478348	11.6941717941157	7.49655817164295	4.45751288988812	4.0497929725927	2.35659784548348	3.96979469559126
AAAS	10.5587294581365	9.54143992553472	11.1001791816493	15.592229058821	12.4942636194049	4.45751288988812	8.09958594518539	4.71319569096696	11.9093840867738
AACS	7.52128673730274	9.54143992553472	7.92869941546377	15.592229058821	6.66360726368262	3.34313466741609	4.0497929725927	9.42639138193392	8.73354833030078
AADAC	5.49632492341354	3.81657597021389	3.17147976618551	3.89805726470524	5.27535575041541	8.91502577977625	4.0497929725927	4.71319569096696	3.96979469559126
AADACL2	5.49632492341354	4.77071996276736	9.51443929855653	7.79611452941049	3.33180363184131	5.57189111236015	4.0497929725927	4.71319569096696	4.76375363470951
AADACL3	5.35168479385002	4.77071996276736	1.58573988309276	3.89805726470524	4.99770544776197	10.0294040022483	4.0497929725927	4.71319569096696	3.17583575647301
AADACL4	6.79808608948517	7.63315194042778	1.58573988309276	7.79611452941049	4.72005514510852	2.22875644494406	4.0497929725927	4.71319569096696	4.76375363470951
AADAT	4.91776440515948	3.33950397393715	6.34295953237102	7.79611452941049	5.55300605306885	2.22875644494406	4.0497929725927	2.35659784548348	3.17583575647301
AAGAB	11.7158504946447	9.06436792925798	12.685919064742	7.79611452941049	8.60715938225672	13.3725386696644	16.1991718903708	9.42639138193392	8.73354833030078
AAK1	7.23200647817571	8.11022393670451	15.8573988309276	3.89805726470524	8.32950907960328	8.91502577977625	4.0497929725927	14.1395870729009	3.96979469559126
AAMDC	6.36416570079462	8.11022393670451	11.1001791816493	3.89805726470524	8.32950907960328	6.68626933483219	8.09958594518539	4.71319569096696	2.38187681735476
AAMP	20.828178657146	18.128735858516	22.2003583632986	11.6941717941157	12.7719139220584	18.9444297820245	8.09958594518539	18.8527827638678	3.17583575647301
AANAT	7.95520712599328	5.72486395532083	7.92869941546377	7.79611452941049	6.38595696102918	3.34313466741609	4.0497929725927	2.35659784548348	5.55771257382777
AAR2	14.3193728267879	16.220447873409	12.685919064742	3.89805726470524	7.21890786898951	7.80064755730422	4.0497929725927	4.71319569096696	2.38187681735476
AARD	7.66592686686625	4.77071996276736	3.17147976618551	7.79611452941049	3.33180363184131	2.22875644494406	12.1493789177781	2.35659784548348	5.55771257382777
AARS,AARS1	9.40160842162842	10.4955839180882	14.2716589478348	3.89805726470524	13.6048648300187	15.6012951146084	4.0497929725927	14.1395870729009	11.9093840867738
AARS2	9.2569682920649	10.4955839180882	19.0288785971131	3.89805726470524	6.66360726368262	6.68626933483219	4.0497929725927	14.1395870729009	6.35167151294602
AARSD1	8.96768803293788	9.54143992553472	17.4431387140203	7.79611452941049	7.49655817164295	6.68626933483219	8.09958594518539	2.35659784548348	7.93958939118253
AASDH	3.0374427208338	4.77071996276736	7.92869941546377	3.89805726470524	3.33180363184131	1.11437822247203	4.0497929725927	2.35659784548348	2.38187681735476
AASDHPPT	12.8729715311528	7.63315194042778	17.4431387140203	7.79611452941049	10.2730611981774	8.91502577977625	12.1493789177781	16.4961849183844	5.55771257382777
AASS	11.4265702355176	11.9267999069184	17.4431387140203	23.3883435882315	10.5507115008308	12.2581604471923	4.0497929725927	2.35659784548348	3.96979469559126
AATF	7.23200647817571	4.29364796649062	4.75721964927827	3.89805726470524	9.71776059287049	2.22875644494406	4.0497929725927	11.7829892274174	6.35167151294602
AATK	4.91776440515948	7.15607994415104	6.34295953237102	7.79611452941049	36.0945393449475	35.660103119105	20.2489648629635	21.2093806093513	0.793958939118252
ABAT	7.37664660773922	9.06436792925798	12.685919064742	7.79611452941049	7.21890786898951	22.2875644494406	12.1493789177781	7.06979353645044	7.14563045206427
ABCA1	13.3068919198433	15.2663038808556	22.2003583632986	7.79611452941049	23.3226254228892	28.9738337842728	12.1493789177781	30.6357719912852	11.1154251476555
ABCA10	7.08736634861219	6.20193595159757	7.92869941546377	3.89805726470524	6.38595696102918	6.68626933483219	4.0497929725927	4.71319569096696	2.38187681735476
ABCA12	4.91776440515948	6.20193595159757	12.685919064742	7.79611452941049	4.99770544776197	6.68626933483219	4.0497929725927	2.35659784548348	3.96979469559126
ABCA13	6.36416570079462	11.9267999069184	9.51443929855653	3.89805726470524	4.44240484245508	14.4869168921364	4.0497929725927	2.35659784548348	6.35167151294602
