TargetName	DSP-1010474710004-A04	DSP-1010474710004-A06	DSP-1010474710004-A08	DSP-1010474710004-A10	DSP-1010474710004-A12	DSP-1010474710004-B02	DSP-1010474710004-B04	DSP-1010474710004-B06	DSP-1011206234567-H08
ACAP1,KCTD11	100	43	14	7	24	7	1	2	9
ACAP2	49	18	1	1	17	2	1	1	11
ACAP3	77	29	3	1	35	12	2	5	6
ACAT1	73	17	10	1	33	15	2	5	6
ACAT2	59	15	7	2	27	10	1	8	5
ACBD3	73	20	8	3	27	12	1	6	12
ACBD4	42	11	1	1	14	5	1	1	5
ACBD5	55	22	8	1	49	11	1	6	4
ACBD6	58	23	8	2	23	8	1	3	6
ACBD7	38	13	4	4	24	3	1	1	6
ACCS	39	14	1	1	18	3	1	2	5
ACCSL	44	11	9	3	14	3	1	1	3
ACD	43	15	7	1	18	4	1	7	5
ACE	65	12	4	1	23	11	1	6	4
ACE2	48	15	4	1	22	8	1	3	11
ACER1	41	19	3	4	13	5	1	2	9
ACER2	51	23	6	4	23	6	3	3	11
ACER3	51	19	10	4	27	8	3	2	9
ACHE	71	26	9	2	30	3	2	5	14
ACIN1	69	18	7	1	47	10	2	2	4
ACKR1	19	3	1	1	4	1	1	1	2
ACKR2	50	11	5	1	16	6	1	3	7
ACKR3	38	15	3	2	18	8	1	6	79
ACKR4	24	8	1	1	14	1	1	1	3
ACLY	54	19	3	2	28	6	2	6	6
ACMSD	43	15	8	1	20	6	2	2	9
ACO1	62	21	9	3	21	6	1	3	5
ACO2	82	23	7	5	50	14	1	5	4
ACOD1	52	13	8	2	25	8	1	3	8
ACOT1	53	11	10	4	20	3	1	1	14
ACOT11	57	16	6	5	18	7	1	5	6
ACOT12	51	17	7	1	15	4	1	1	16
ACOT13	53	10	2	4	32	7	1	3	7
ACOT2	61	31	16	1	22	6	1	4	9
ACOT4	84	14	7	3	18	5	3	1	4
ACOT6	38	18	5	2	23	4	1	1	7
ACOT7	41	14	5	2	24	3	1	3	5
ACOT8	56	25	4	3	34	7	1	4	9
ACOT9	34	19	2	1	14	7	1	3	6
ACOX1	71	25	5	1	18	2	1	3	5
ACOX2	59	15	6	2	21	3	1	2	12
ACOX3	43	15	6	2	24	7	1	3	2
ACOXL	34	11	6	1	17	4	1	2	17
ACP1	88	33	16	4	34	12	2	5	12
ACP2	76	22	11	3	35	6	1	6	3
ACP4	55	18	6	2	14	4	2	2	10
ACP5	41	19	6	1	15	6	1	6	10
ACP6	55	29	7	1	23	7	1	2	6
ACP7	51	10	9	1	18	5	1	1	14
ACR	50	18	7	1	13	4	1	2	2
ACRBP	41	13	4	5	20	11	1	2	4
ACRV1	48	13	5	1	21	1	2	2	9
ACSBG1,IDH3A	42	16	2	2	16	5	1	2	11
ACSBG2	30	5	4	1	13	1	1	5	3
ACSF2	48	21	3	1	16	3	1	7	5
ACSF3	24	11	3	1	18	1	1	1	4
ACSL1	27	12	6	3	33	13	5	3	4
ACSL3	61	21	10	4	37	8	1	3	3
ACSL4	43	14	5	1	25	7	2	3	7
ACSL5	44	14	6	1	23	5	1	3	7
ACSL6	58	18	1	2	17	6	1	2	8
ACSM1	28	12	3	3	13	6	1	3	6
ACSM2A,ACSM2B	35	9	1	1	15	9	1	1	2
ACSM3	46	10	2	1	12	7	1	3	4
ACSM4	32	7	3	2	19	3	1	1	4
ACSM5	21	8	1	1	5	2	1	2	3
ACSM6	45	9	4	1	16	8	2	2	8
ACSS1	66	24	3	4	25	10	1	2	6
ACSS2	60	23	5	4	31	11	1	3	5
ACSS3	70	15	6	1	16	2	1	3	6
ACTA1	42	6	4	2	20	3	1	1	2
ACTA2	77	25	6	1	66	58	1	5	18
ACTC1	38	21	10	2	16	9	1	1	4
ACTG2	72	25	5	2	29	13	1	4	10
ACTL10	53	18	4	4	16	7	1	2	3
ACTL6A	57	18	7	2	40	9	1	4	10
ACTL6B	50	12	4	4	16	3	1	1	9
ACTL7A	38	15	4	2	23	8	1	3	7
ACTL8	102	19	19	7	42	12	1	3	5
ACTL9	29	14	3	4	14	2	1	3	5
ACTN1	164	55	26	7	39	13	1	3	11
ACTN2	55	17	5	1	28	15	2	3	8
ACTN3	28	16	6	3	16	6	1	2	4
ACTN4	157	52	21	8	96	41	5	5	3
ACTR10	78	33	14	2	36	10	1	1	7
ACTR1A	50	17	7	1	24	7	1	1	8
ACTR1B	58	17	6	4	36	9	1	5	3
ACTR2	158	44	8	4	52	16	2	13	17
ACTR3	84	34	11	1	51	14	2	12	14
ACTR3B,ACTR3C	52	18	5	1	32	8	1	3	8
ACTR5	41	15	6	1	26	2	1	1	5
ACTR6	68	22	3	8	40	9	1	2	17
ACTR8	63	17	7	1	18	10	1	4	10
ACTRT1	53	11	4	2	19	5	1	1	5
ACTRT2	74	24	5	1	23	3	1	2	13
ACTRT3	32	11	4	1	12	2	3	3	5
ACVR1	44	15	5	1	26	10	1	3	6
ACVR1B	73	18	10	1	42	8	1	3	9
ACVR1C	25	16	6	1	14	4	1	2	2
ACVR2A	49	18	5	2	15	3	1	1	1
ACVR2B	32	13	5	3	20	7	1	1	1
ACVRL1	56	14	9	2	25	13	1	2	11
ACY1,ABHD14A-ACY1	71	20	8	1	24	3	2	1	9
ACY3	56	17	4	2	23	4	1	3	8
ACYP1	32	17	2	2	10	5	1	1	4
ACYP2	99	43	18	4	28	12	1	3	10
ADA	48	15	11	3	25	4	1	5	10
ADA2	56	15	11	3	40	8	1	3	3
ADAD1	41	9	2	1	14	3	1	1	5
ADAD2	27	9	5	1	18	6	1	1	5
ADAL	54	25	6	1	22	11	1	5	7
ADAM10	53	15	6	3	29	12	1	2	6
ADAM11	61	18	4	4	23	8	1	1	6
ADAM12	61	23	13	2	26	9	1	3	4
ADAM15	2473	685	212	61	470	157	16	68	153
ADAM17	83	33	9	2	30	15	2	2	2
ADAM18	44	9	8	2	21	5	1	3	3
ADAM19	59	25	8	1	23	4	3	6	10
ADAM2	1	1	1	1	1	1	1	1	1
ADAM21	52	11	4	1	8	2	1	5	5
ADAM22	86	24	6	5	29	10	1	3	3
ADAM23	54	13	4	3	19	7	1	1	8
ADAM28	54	16	11	1	32	3	2	3	16
ADAM29	32	14	3	1	21	8	1	4	6
ADAM30	32	16	4	1	25	3	2	2	5
ADAM32	36	21	6	2	14	6	1	3	5
ADAM33	53	15	4	1	17	6	1	1	8
ADAM7	32	15	6	1	22	1	1	1	4
ADAM8	29	9	5	3	22	7	2	1	2
ADAM9	99	28	8	4	63	21	2	13	8
ADAMDEC1	46	14	2	3	18	11	1	3	4
ADAMTS1	42	15	3	1	19	8	1	4	15
ADAMTS10	43	25	5	7	15	11	1	4	7
ADAMTS12	28	12	4	2	19	4	1	1	6
ADAMTS13	276	71	18	8	67	13	2	15	82
ADAMTS14	46	14	2	2	27	2	1	1	10
ADAMTS16	50	16	7	1	23	8	1	1	9
ADAMTS18	38	7	6	4	27	5	3	1	9
ADAMTS19	52	10	4	1	20	9	1	1	5
ADAMTS2	28	8	3	1	15	5	1	3	8
ADAMTS20	34	16	3	2	29	6	1	4	36
ADAMTS3	53	11	5	2	14	5	1	5	6
ADAMTS4	44	15	5	2	64	22	6	12	5
ADAMTS5	39	18	3	1	18	10	1	1	8
ADAMTS6	23	8	1	1	17	1	1	1	3
ADAMTS7	39	10	5	1	15	5	1	2	5
ADAMTS8	32	13	4	1	13	6	2	7	6
ADAMTS9	42	16	6	1	13	3	2	4	2
ADAMTSL1	35	13	5	3	20	7	1	2	6
ADAMTSL2	35	6	6	1	9	4	1	2	1
ADAMTSL3	41	8	5	1	17	3	1	1	2
ADAMTSL4	28	14	2	1	16	2	1	2	6
ADAMTSL5	58	27	6	1	27	5	3	2	6
ADAP1	64	19	11	6	60	12	3	4	8
ADAP2	61	19	6	1	47	13	1	5	4
ADARB1	50	18	3	1	13	5	1	4	6
ADARB2	23	6	1	1	11	2	1	1	1
ADAT1	51	16	9	3	20	8	1	2	5
ADAT2	21	11	3	3	12	1	1	2	6
ADAT3	136	33	8	2	38	10	1	5	13
ADCK1	35	13	5	1	22	6	1	1	7
ADCK2	71	23	5	4	24	12	1	5	11
ADCK5	59	23	5	3	20	11	1	2	7
ADCY1	74	17	11	9	15	5	1	2	6
ADCY10	43	14	1	1	13	3	1	1	4
ADCY2	51	18	4	2	40	5	3	4	8
