Gene	CCRF-CEM_1	CCRF-CEM_2	CCRF-CEM_33	CCRF-CEM_34	CCRF-CEM_35	CCRF-CEM_36	CCRF-CEM_37	CCRF-CEM_38	CCRF-CEM_39	CCRF-CEM_40	CCRF-CEM_41	CCRF-CEM_60	CCRF-CEM_61	CCRF-CEM_86	CCRF-CEM_87	CCRF-CEM_88	CCRF-CEM_89	CCRF-CEM_90	CCRF-CEM_91	CCRF-CEM_92	CCRF-CEM_93	CCRF-CEM_94	H596_17	H596_18	H596_76	H596_77	HUH7_10	HUH7_68	HUH7_69	HUH7_9	HUT78_66	HUT78_67	HUT78_7	HUT78_8	MDAMB468_5	MDAMB468_6	MDAMB468_64	MDAMB468_65	OVCAR8_3	OVCAR8_4	OVCAR8_42	OVCAR8_43	OVCAR8_44	OVCAR8_45	OVCAR8_46	OVCAR8_47	OVCAR8_48	OVCAR8_49	OVCAR8_50	OVCAR8_62	OVCAR8_63	Raji_21	Raji_22	Raji_80	Raji_81	SF9_23	SF9_24	SF9_82	SF9_83	SKBR3_19	SKBR3_20	SKBR3_78	SKBR3_79	SKMEL5_15	SKMEL5_16	SKMEL5_51	SKMEL5_52	SKMEL5_53	SKMEL5_54	SKMEL5_55	SKMEL5_56	SKMEL5_57	SKMEL5_58	SKMEL5_59	SKMEL5_74	SKMEL5_75	Spleen_31	Spleen_32	Spleen_84	Spleen_85	SUDHL1_13	SUDHL1_14	SUDHL1_72	SUDHL1_73	SUDHL4_11	SUDHL4_12	SUDHL4_70	SUDHL4_71	Tonsil_25	Tonsil_26	Tonsil_27	Tonsil_28	Tonsil_29	Tonsil_30
A2M	3.31050922253091	1.82372173341126	2.11308946759541	3.00192811216205	2.50057807946335	2.09241563410391	2.1444838447229	3.45388441120329	2.1444838447229	2.79468692792692	2.96328698905812	4.05681506324562	2.84811920853007	2.1444838447229	2.73837470446552	2.90033973694259	1.1670666367735	1.63689430847249	2.09241563410391	2.65428402302638	2.40593163882447	2.1444838447229	2.63576034258487	2.1444838447229	2.36571273778775	2.1444838447229	302.662264890742	547.046976609293	274.030357055556	591.670004744121	3.19764790751182	1.69047357656328	2.97666860618895	2.1444838447229	53.2956634133801	21.1538049229038	57.2417500163186	20.5222129111517	3.92954247702294	2.73837470446552	1.97332755087856	3.08809483413435	2.70188033712586	2.09241563410391	2.10272714308275	2.1444838447229	2.51737963330477	2.9872070349247	2.1444838447229	3.32813243802036	2.97985072934849	5.37631829379726	2.1444838447229	4.26624824582394	2.1444838447229	1.78571752902581	2.1444838447229	2.17113805147716	2.1444838447229	3.14693706219357	2.1444838447229	3.45309270347396	2.1444838447229	198.461665377505	79.8523936939286	66.5112701964406	93.4805410222914	112.536785720729	63.8180223204619	54.131086092884	30.8315611667107	65.702870678182	43.9827141114109	49.2545724113117	183.623951631682	46.8189224936666	3.70987838589563	2.07150065360034	2.91762597444361	2.77271121523733	3.68087528139613	2.09241563410391	4.30616610260478	2.1444838447229	4.49390752287621	3.34782168236035	5.00543671337239	3.14304546229588	10.1570150605077	2.1444838447229	4.44074185928157	2.07194406719781	8.7662343028167	3.89533754294374
ABCB1	3.03432325986261	1.38434072934556	2.11308946759541	2.11308946759541	2.10272714308275	3.16388960639252	2.1444838447229	2.57713759169938	2.1444838447229	2.1235028580629	2.23691933702086	2.92277084859094	2.1444838447229	2.1444838447229	2.79964874483545	2.1339675661403	2.50361210954733	2.32542876986337	2.09241563410391	2.1444838447229	1.7174802271294	2.1444838447229	2.76208366019224	2.1444838447229	2.13132519176153	2.1444838447229	13.5613231661895	33.3791698639345	17.9804114942597	37.4382082570728	2.80576470983295	1.69047357656328	3.10185990745005	2.1444838447229	2.61499589321756	1.70921286492749	2.68446248412272	2.1444838447229	4.44863070456161	2.1444838447229	2.63407626024444	2.08215469146591	2.55023544615286	2.67188678420596	3.0143948060054	2.1444838447229	2.42163158789964	3.05404896278538	2.1444838447229	4.14781673002795	2.1444838447229	4.45519157536653	2.1444838447229	4.24300209842479	2.1444838447229	1.66779467806772	2.1444838447229	1.68021279019385	2.1444838447229	3.09373347466763	2.79964874483545	3.70986597298214	2.1444838447229	4.98852770398906	2.1444838447229	2.08215469146591	2.1444838447229	2.1444838447229	2.1444838447229	2.1444838447229	3.14304546229588	2.1444838447229	3.11469735064347	2.1444838447229	4.81607633699841	2.1444838447229	3.09237005967797	2.07150065360034	2.96625839238435	2.16456579961457	3.88218923841597	2.73167308679354	4.52942416498806	2.1444838447229	3.50530259217305	2.71827730615011	4.57845393185935	2.1444838447229	5.6039483267979	2.1444838447229	2.77427423433017	2.94347553074803	2.96843813467467	2.44001748418433
ABCF1	16.8844547872177	6.99731500524027	6.6632255110842	9.65574960985697	6.01108230002694	5.31581377961452	6.17014548743276	10.7350355662714	4.98510173699416	8.84980107747087	9.11138724742375	19.8010969687288	6.05597160106405	7.81804699798976	9.39793272486835	6.77262942590186	3.06962776258533	14.1424097328079	7.55783030116111	6.83929296887542	6.62172359950728	4.74284118004834	68.4745232157472	29.4152837816829	70.1994068985035	16.3834650637478	15.4317016493996	44.1638703193235	13.2557012636278	41.8179951252404	34.2775745153986	19.6168903641468	35.3311824264443	11.9714728255164	41.9784082796168	17.6944065924611	47.0010859150549	17.4603095842942	47.595372782207	21.9053988227861	25.1277997002611	20.8020224054824	22.1953774173713	18.2632676931403	18.9930770912861	18.6147376031244	6.44476741460059	27.5360009883774	24.8721767605437	53.2855524287937	24.8083315065406	33.6609080929606	11.1383571362052	26.8330392505228	11.0080480843681	1.99092826386392	2.1444838447229	1.69109076799292	2.1444838447229	56.360177286091	17.388426940781	54.1847893155439	12.2071741318406	54.0294845321261	17.4608868895808	20.6748058436322	19.5082959931392	23.6737534649016	21.7495688165546	17.7820936979474	19.2551533812682	15.1116335910884	14.3728249356102	16.5754690970374	55.9724620399059	15.2313252556359	3.56532268533468	1.94683848439582	3.79849570094075	2.12743529432749	184.397107495993	101.316064188769	230.34848306354	72.0565889843689	44.789359494126	22.9333231475107	43.237502415522	20.9332160529597	11.236742439234	3.67086280938771	4.8755803117171	3.40576185111377	8.82467550080644	2.67017068545522
ABHD1	3.23970780353474	1.79380104121709	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	2.59236683630239	1.83308016927253	2.99339778177562	4.41937802763891	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.88847642302949	3.66616033854506	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	3.21490900879771	1.83308016927253	2.8363572287898	1.83308016927253	1.83308016927253	3.7344637334304	1.83308016927253	4.27400006754055	7.06370103727324	5.73785101393313	5.76905416567594	2.86892550696657	3.27822907404631	3.08286108642789	2.50961487347992	1.83308016927253	3.67729476988124	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	2.86892550696657	2.86892550696657	1.742489026434	1.83308016927253	1.83308016927253	4.31821945072683	1.83308016927253	4.21011701659706	1.83308016927253	3.57881432404692	1.83308016927253	2.29603263624074	1.83308016927253	2.19614814783273	1.83308016927253	1.60064829209091	2.86892550696657	3.19810787751026	1.83308016927253	5.69344050952085	3.66616033854506	1.83308016927253	1.83308016927253	2.59236683630239	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	3.54923656524981	1.83308016927253	4.57572635227283	1.95454172770767	4.55743923962074	1.37116072921323	3.76819337333039	3.97033435970911	5.64616428096377	1.83308016927253	4.59819415843693	2.86892550696657	4.53909708925532	2.59236683630239	6.28807514670718	1.83308016927253	5.2371695450834	2.59236683630239	4.41996878325137	1.40563466978179
ABL1	13.4889574872622	5.67347985410425	5.61682515330994	5.75917566512486	5.9981962709269	6.79778513776909	4.64987657398848	9.73314849107483	6.10523240677055	6.25094006820288	8.09108730606316	16.515363884487	5.06645972255363	6.94149101556256	7.24680174023062	6.89303297642385	3.45015541834558	6.39570416084298	7.49272079888254	4.18736880334116	6.02644598046205	4.37399412065153	29.1777165255473	9.30352878494305	29.0116450112947	10.6007269774696	14.1052745037078	41.853964276578	17.3720624707838	44.3454850844514	22.076723710167	8.81908390986165	19.1689956852036	11.6441661856219	19.5495909942452	7.06515464326912	20.1148761722594	5.8645452695745	31.3473116785585	11.6618487216101	13.4050407040268	9.14825688379128	7.75176855880278	10.3913020639354	12.9361067816435	8.3812482009012	4.48669011066707	8.2905237572853	13.1819517017176	34.4237663887507	11.370108455891	14.1115319125421	5.42779066368093	12.8078617148216	4.37399412065153	1.89140534656517	2.1444838447229	2.51453594797673	2.1444838447229	16.0809352277609	5.71969927762407	15.7697100561661	3.43773307708619	39.1873145596842	11.0898262686347	17.4563611173033	12.7933819832524	12.3787595989031	13.5822078471341	5.2653375157326	13.318182192485	8.98231757038433	8.65439546795744	13.768430052353	38.2163029065898	8.27427218073028	3.64949999020111	2.3375022958552	3.40070578325414	2.11310708241138	27.87102833035	13.4073424831595	33.7487264147744	9.62931244040367	27.682135545047	13.6423170956683	27.4515310218733	10.7507680161265	9.075991441683	2.96091687617153	5.38897029067846	2.79299335456397	6.26089210961723	2.68980938785846
ACP5	4.8508884999009	1.79380104121709	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	2.86892550696657	5.2320709741106	4.61113360304823	1.83308016927253	3.41174662529743	3.41174662529743	3.66616033854506	2.24578959878156	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	2.59236683630239	5.30313926378416	1.83308016927253	7.75560584904187	1.83308016927253	1.83308016927253	4.35952903331472	1.83308016927253	4.73561348023938	2.64733293859032	1.83308016927253	3.0331445081243	1.83308016927253	2.79661296039774	3.259728721968	2.42052388297366	1.83308016927253	6.22399137295187	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	1.83308016927253	3.0180795254149	1.83308016927253	1.83308016927253	5.39144769674603	2.59236683630239	4.51848676614881	1.83308016927253	4.30165220327877	1.83308016927253	3.2470804938229	1.83308016927253	3.32430956561264	1.83308016927253	2.68138117591643	1.83308016927253	2.13553283006246	1.83308016927253	39.9206894650696	10.0290191723075	6.82349325059487	17.972125885286	13.9561708847601	14.1093900068103	10.6862899872533	7.55143660963052	6.34997597505395	10.9984810156352	6.97808544238004	38.52315976106	7.02740360212363	3.20326563366563	3.05902311914507	2.76464209958952	2.14598251409367	4.85990255287324	2.53681776068819	4.76185177085522	1.83308016927253	7.3903368978659	1.83308016927253	4.98829686386613	1.83308016927253	17.8758912360825	3.66616033854506	8.36019588784401	2.86892550696657	8.64542913652138	4.6523006409978
ACTL6B	3.59101787195079	1.38434072934556	2.11308946759541	2.11308946759541	2.10272714308275	2.09241563410391	2.1444838447229	4.48586629730679	2.1444838447229	4.2470057161258	3.28964720496961	2.5859669589019	2.1444838447229	2.1444838447229	4.2889676894458	2.1339675661403	1.55296276472318	1.63689430847249	2.09241563410391	2.1444838447229	1.7174802271294	2.1444838447229	2.18083735097775	2.1444838447229	2.07312917589645	2.1444838447229	2.1444838447229	4.51520180498117	3.87767640886942	2.97275326463883	2.18572952750198	1.69047357656328	3.50562761269368	2.1444838447229	3.4700992081162	3.10584589439336	1.81533707676384	2.1444838447229	2.22695499799364	4.2889676894458	3.94665510175712	4.76694426104053	2.1444838447229	2.09241563410391	2.10272714308275	2.1444838447229	2.59571143119896	2.10272714308275	2.1444838447229	2.41022478338627	2.1444838447229	2.99998897738442	2.1444838447229	2.90337360494099	4.62015038728396	1.00667155917645	2.1444838447229	1.10180760401038	2.1444838447229	3.47119890758678	2.1444838447229	2.81729579261733	2.1444838447229	2.92291850738023	2.1444838447229	2.08215469146591	3.89678575524182	2.1444838447229	2.1444838447229	2.1444838447229	2.1444838447229	2.1444838447229	3.89678575524182	2.1444838447229	2.96671032869395	2.1444838447229	1.49559521871079	1.4581515778162	1.78938839588673	1.44454886109781	3.51535746996407	2.09241563410391	4.17594536174117	2.1444838447229	5.53758597386155	6.00597341816054	6.15167925563715	5.62013758107756	2.6996393736414	2.1444838447229	2.28183818657028	2.07194406719781	1.97509562063783	1.57837030201516
ACTR3B	3.96882688573419	1.38434072934556	2.11308946759541	2.11308946759541	2.10272714308275	2.09241563410391	2.1444838447229	2.08215469146591	4.2889676894458	6.3705085741887	5.95834991001663	8.97051906290974	4.2889676894458	2.1444838447229	2.1444838447229	6.4019026984209	1.55296276472318	1.63689430847249	4.18483126820781	4.2889676894458	1.7174802271294	2.1444838447229	2.22765065857525	2.1444838447229	2.84871848268962	2.1444838447229	2.1444838447229	8.27704780458265	6.4019026984209	8.2723614818495	7.54796317869235	5.07142072968985	6.21251287483936	2.1444838447229	6.37038271024158	5.12763859478247	5.92188572297232	6.4334515341687	4.61586348421898	6.4334515341687	1.97332755087856	4.16430938293182	2.1444838447229	4.18483126820781	4.20545428616551	2.1444838447229	2.57527191030695	2.10272714308275	2.1444838447229	4.8014511041162	2.1444838447229	7.53374211587169	2.1444838447229	8.40511196597528	2.1444838447229	0.408185317740666	2.1444838447229	3.78376457059274	2.1444838447229	8.71593116219546	6.4334515341687	7.70108606522537	2.1444838447229	7.32201964241781	2.1444838447229	8.32861876586365	2.1444838447229	6.4334515341687	2.1444838447229	2.1444838447229	2.1444838447229	2.1444838447229	2.1444838447229	2.1444838447229	8.45597223299134	2.1444838447229	4.29704052072069	1.4581515778162	3.62568976756157	5.77819544439123	5.15885832157507	4.18483126820781	4.39979831908586	2.1444838447229	10.9009999666557	10.4107734573296	11.7372602087124	8.5779353788916	3.88955623538296	2.1444838447229	3.97616357403101	2.07194406719781	4.43112570472594	1.57837030201516
ACVR1B	9.50299868226051	6.2398194158124	5.46585919986558	4.53191082578748	5.2230916095903	5.1369875481949	3.05266806566373	5.3858412293555	3.56102594678339	6.7027752083104	6.61648455855661	12.3026079295167	4.2889676894458	5.68631760016035	6.54701074728277	5.9754570470312	2.11993510693053	5.74371547922395	8.80730333136248	3.84612075427161	5.4042342634032	4.87456154732898	11.7419889308224	5.43582438317604	9.76674353706433	3.84612075427161	13.0630045911683	42.2928710148958	18.9802851517242	43.9835627678361	38.8426255691683	17.1686428058104	35.7319422096286	15.1654150783034	11.1705572094715	4.17145342254205	12.1897342242183	4.87456154732898	13.213166251247	7.47103474484519	4.78163170514582	5.76749960259105	4.54571374449614	7.45184453661047	6.79443044149331	3.96410419450853	3.52162080699798	5.32997975417822	6.13309147400047	14.3141010820234	6.45059096836755	10.5414121450158	4.12435832719475	8.16286823609878	4.90964239995966	2.09003829221925	2.61688133093796	1.92559156638674	2.1444838447229	23.7025750146577	5.79468164390449	19.9330606317462	4.20876140532573	22.6471411086857	10.1115445297474	9.02882313272124	7.67879325961356	9.3703157403881	10.3215956100861	7.28807741157824	5.25755576237438	5.79468164390449	6.29262316847441	3.84612075427161	20.8002192836451	4.45455337796829	4.65874368637807	2.43234343027431	5.27570120984409	2.22093995987246	65.591090260317	35.414291499039	80.7480993552549	32.3261327345296	16.0396599846107	6.27407423805243	14.9206706485068	8.16418240229899	7.64297516002928	3.19334086711039	6.58772752380084	2.52836213317253	6.29522548287803	2.60223765794366
ACVR1C	2.59616321735687	2.11026098224458	2.11308946759541	2.6623259005346	2.10272714308275	2.09241563410391	2.1444838447229	2.80439536624908	2.1444838447229	3.13762141738841	2.51279671150687	3.26777317408949	2.79473338140402	2.1444838447229	2.88834474296569	2.87418066426005	1.6201393936087	2.45278337972633	2.09241563410391	2.1444838447229	2.31322562647597	2.1444838447229	2.84466406492362	2.1444838447229	2.30225185557181	2.1444838447229	4.8984029430778	13.4114320671057	5.52206441919673	12.2101128088758	2.3849482035162	2.55058992716256	2.80036291207483	2.1444838447229	4.25957257681501	1.70921286492749	3.19644860437384	2.1444838447229	3.09674451219214	2.1444838447229	1.97332755087856	3.87532654656082	3.76389492662542	2.73167308679354	2.10272714308275	2.1444838447229	2.42014773721277	2.10272714308275	2.1444838447229	3.18701557741573	2.1444838447229	4.21402842654685	2.1444838447229	2.94671748106508	3.24262065184823	1.58373830640961	2.1444838447229	2.21297441549456	2.1444838447229	4.04264158830286	2.1444838447229	3.18873540852387	2.1444838447229	4.17284439594454	2.1444838447229	2.08215469146591	2.89077742112091	2.1444838447229	2.1444838447229	2.1444838447229	2.73837470446552	2.1444838447229	2.1444838447229	2.1444838447229	3.44606388443586	2.1444838447229	2.89476291124768	2.64517963334713	3.03035114732798	2.48444038838991	5.72139905530703	3.59868887142769	7.11209265006225	2.1444838447229	3.93010753702072	2.08215469146591	3.28345306239539	2.65428402302638	4.64107214538379	2.1444838447229	2.52018648187719	2.6362346828636	3.12717522870398	2.92378855222028
