Gene	CCRF-CEM_1	CCRF-CEM_2	CCRF-CEM_33	CCRF-CEM_34	CCRF-CEM_35	CCRF-CEM_36	CCRF-CEM_37	CCRF-CEM_38	CCRF-CEM_39	CCRF-CEM_40	CCRF-CEM_41	CCRF-CEM_60	CCRF-CEM_61	CCRF-CEM_86	CCRF-CEM_87	CCRF-CEM_88	CCRF-CEM_89	CCRF-CEM_90	CCRF-CEM_91	CCRF-CEM_92	CCRF-CEM_93	CCRF-CEM_94	H596_17	H596_18	H596_76	H596_77	HUH7_10	HUH7_68	HUH7_69	HUH7_9	HUT78_66	HUT78_67	HUT78_7	HUT78_8	MDAMB468_5	MDAMB468_6	MDAMB468_64	MDAMB468_65	OVCAR8_3	OVCAR8_4	OVCAR8_42	OVCAR8_43	OVCAR8_44	OVCAR8_45	OVCAR8_46	OVCAR8_47	OVCAR8_48	OVCAR8_49	OVCAR8_50	OVCAR8_62	OVCAR8_63	Raji_21	Raji_22	Raji_80	Raji_81	SF9_23	SF9_24	SF9_82	SF9_83	SKBR3_19	SKBR3_20	SKBR3_78	SKBR3_79	SKMEL5_15	SKMEL5_16	SKMEL5_51	SKMEL5_52	SKMEL5_53	SKMEL5_54	SKMEL5_55	SKMEL5_56	SKMEL5_57	SKMEL5_58	SKMEL5_59	SKMEL5_74	SKMEL5_75	Spleen_31	Spleen_32	Spleen_84	Spleen_85	SUDHL1_13	SUDHL1_14	SUDHL1_72	SUDHL1_73	SUDHL4_11	SUDHL4_12	SUDHL4_70	SUDHL4_71	Tonsil_25	Tonsil_26	Tonsil_27	Tonsil_28	Tonsil_29	Tonsil_30
ACVR2A	13.6037262611937	1.77933110005925	1	1	1	1	1	1.51207511300568	1.30551169770981	1	4.32741223605532	16.1989841051716	1	1.38954216730578	1	1	4.49814698179485	1.54590939849101	1	1.34687176593718	1.37700945119427	1.23772628530543	32.641035947682	1.70436079285715	32.0539555548497	1.34687176593718	6.0886860879987	137.944798701005	6.42765104398137	138.355273880077	20.505148899244	1.9740317478448	29.0374757541699	1.23772628530543	34.6084964939995	2.12873185241216	29.633800603858	1	43.4123042473797	1.31739368404873	2.36828118997771	1	1.46564193991492	1.44523016930896	1.83057407492801	1.38954216730578	7.8583944372756	1.63057279084246	1.83057407492801	47.7037552530604	2.29998723607981	13.7721100263867	1	12.556733440876	1	4.71463261482716	1	5.65061764521506	1	19.351058341884	1.27693883598333	22.1594802764898	1	24.6331705901539	1.42063464808146	1.56434951031902	1.69592045928986	1.55997934086402	1.51207511300568	1.63057279084246	2.3136437285968	1.32811408933607	1	1.63057279084246	28.7764433298595	1	18.2665182209876	1.34687176593718	9.21760960857358	2.28418738389272	47.73834589395	1.98024025312608	37.507191762401	1.66402006480489	30.1509073414242	1.5726738079595	24.8642855125664	1.51207511300568	26.5710611760593	1	19.3635959547876	1.56434951031902	27.1137196007479	1.83633139307873
ADA	379.557016289698	26.2754553560834	19.1351547442583	16.9041800926022	14.8117394492904	19.376415700046	14.1188592768182	30.1761955273657	18.8238702982088	31.0639999704849	77.4501723608316	501.38125432815	14.3539794946489	19.1271970679428	22.9616630536248	28.0470263178552	27.571866746178	30.7953097750328	20.5263515314116	10.9620378506773	28.9172981840456	12.6628757941619	125.482679513664	7.45400407830915	135.812523471856	3.92299870258815	1.25345107172309	19.7933438667477	1.3623344859431	19.7040066397883	296.504915062306	17.1938043676027	340.185988023759	10.5092355480835	51.7573797928552	1.76066002269089	41.8736111741062	1.99054677494351	46.4043682522804	1.78216331015086	3.52979203486104	1.86898589611243	1.80134844013523	2.14041764460276	2.54618394001523	1.84908039834368	5.72689243707891	3.04325703704315	2.85009967337652	54.4223818844378	2.30157248801995	191.627738684384	5.44503307047033	151.576630687788	7.14661048719254	4.94939553488952	1	5.96934670398126	1	20.7258444040739	1	21.6944228290969	1	58.7402903655823	2.23385451109417	2.25790213283422	3.14944992690103	2.5582759190248	2.47765737900343	2.47665427720547	3.13905456846753	2.61365247786609	2.76423958210269	2.18339675243283	66.7358321079173	1.99054677494351	20.2473089137924	1.42180524661482	10.3747276538973	1.57113958920376	55.1921332473408	2.22814095397729	50.6067460005475	2.53388914469694	114.044478208778	4.54109818604693	102.787668343925	3.39526022911644	43.1933193920092	1.57113958920376	25.5385057799608	1.25345107172309	67.0895646611736	3.3865761303314
ADAM12	12.7751712584234	1.51207511300568	1	1	1.34687176593718	1.44523016930896	1	1.23772628530543	1	1	5.61278056290348	16.4699139091127	1	1	1	1	3.55557188466514	1.51207511300568	1.42063464808146	1	1	1	9.95517749984667	1	8.96485589699983	1	1	10.8937702078795	1	11.6593888195822	15.1368163679777	1.37019022656642	22.0968751122947	1	12.1432885779369	1	9.6803119232868	1	16.9118673115903	1.33483985417003	1	1.31739368404873	1	1.34687176593718	1.34687176593718	1.34687176593718	4.87479686981428	1	1.400849687129	21.6690611259114	1	16.7702313778507	1	15.7785167898074	1	5.77806512926477	1	4.57876309316885	1	7.89222661448966	1	8.0707365129706	1	13.0380563600069	1.31739368404873	1	1	1	1	1	1	1	1	1	13.8372202187006	1	16.6289567093969	1.27693883598333	11.341247312791	1.63057279084246	23.6435270283294	1.49101667471656	17.378348408448	1.23772628530543	21.5318434632308	1.44523016930896	17.1967726139271	1	30.7502428196552	1	20.8693008085754	1.42063464808146	34.3109592068963	2.58522681473193
ADAMTS4	18.4645319400931	1	1.23114441334492	1	1	1.28208885398682	1	1.31950791077289	1.31950791077289	1.37410881031664	4.70553973913384	21.6580995184016	1	1	1.53367468683856	1	4.59908019223187	1.62450479271247	1.23114441334492	1	1.43096908110526	1.37410881031664	11.299560496622	1	11.4151907019324	1	1	16.315951953164	1	12.1001649798621	31.3471684888022	2.15499057515421	35.1133961928986	1.23114441334492	23.4994390835895	1.64375182951723	20.9202055941134	1	12.6675291684741	1	1	1.23114441334492	1	1	1	1	5.8299832176461	1.37410881031664	1	14.3356605349139	1	16.9660054043357	1.31950791077289	13.829121713095	1.33514136254031	4.51027919721931	1	3.72791927319135	1	12.9013513803347	1.31950791077289	11.9495442380377	1	11.2521797461701	1	1	1	1.28208885398682	1	1	1	1	1	1	12.5554105646137	1	19.6802634282667	1	12.8072388507303	1.33514136254031	27.5251506434694	1.37410881031664	26.061655720304	1	25.3578157845999	1	24.2924368058593	1.59713775274758	32.048686328846	1.28208885398682	26.5654254161128	1.16652903957612	27.4381013678057	1.81314744547553
ADCYAP1	13.5066268333876	1	1	1	1	1	1	1	1	1	3	13.7046994019008	1	1	1	1	8	1	1	1	1	1	4	1	8.84934400959791	1	1	10	1	14.4608535850514	11.2924323465723	1	15.5223403138159	1	19.9632659049537	2	18	1	8.49018474877555	1	1	1.81712059283214	1	1	1	1	1	1	1	5.73879354831717	1	14.5180117032475	1	11.2924323465723	1	2.28942848510666	1	4.48140474655716	1	9	1	9.5244063118092	1	9.43538796063307	1	1	1	1	1	1	1	1.81712059283214	1	1	10.5910450059782	1	16.1342864602454	1	5.48480655243262	2	23.0991310430672	1	15.0839734643487	1.81712059283214	20.5623720054979	1	23.6303306280821	1	17.099759466767	1	9.73996337337792	1	17	1
ADGRE1	14.7961838989529	1	1	1	1.31739368404873	1	1	1.31739368404873	1.30551169770981	1	7.32928789265516	19.8785166682552	1	1	1.31739368404873	1.38954216730578	3.99652643012506	1.59488553429054	1	1	1.58050076202388	1	12.2696008833756	1	9.89213319647737	1	1.34687176593718	12.0156151628609	1	11.4718018800669	34.3538851408978	1.49843723387077	39.2302611911066	1.74038806984603	14.0673932859008	1	12.3105639004185	1	14.2760000979606	1	1.51207511300568	1	1	1	1	1	4.52160528818383	1	1.31739368404873	16.4823260033602	1	15.2715285649607	1	16.6077131063044	1	4.98082176219783	1	5.55351995492143	1	8.35715803361882	1	10.8754648325523	1	9.36461471890791	1	1	1	1	1	1	1	1	1	1	11.7732672794789	1	18.8065564155978	1.59488553429054	8.86973919961585	1.37700945119427	24.2294672408598	1	17.8788798923383	1	21.5224886833674	1.46564193991492	18.8351000243379	1	15.6398106616646	1.34687176593718	15.0914918400386	1	19.0412576267616	1.38954216730578
ADGRF4	18.9736659610103	2	1.4142135623731	1.73205080756888	1	1	1.4142135623731	1.73205080756888	1	1	3.46410161513775	19.8997487421324	1	1.4142135623731	1.4142135623731	1.4142135623731	8.06225774829855	1.4142135623731	1.4142135623731	1	1	1	85.9476584905023	4	72.4154679609267	1.4142135623731	1.4142135623731	7.74596669241483	1	19	27	1.4142135623731	26.7207784317748	1.4142135623731	63.718129288296	2	59.0254182534948	5	12.9614813968157	1	1	2	1	1.4142135623731	2	1	1	1	1	14.4913767461894	1	16.7332005306815	1	17.4355957741627	1	6.48074069840786	1	4.47213595499958	1	10.3923048454133	1.4142135623731	10.3923048454133	1	13	1	1	1	1	1	1	1.4142135623731	1	1	1	14.422205101856	1.73205080756888	19.4422220952236	1	12	2	110.49886877249	3.46410161513775	70.8166647054208	1.73205080756888	24.6779253585061	1.4142135623731	22.9782505861521	1.4142135623731	24.3310501211929	1	35.0713558335004	1.4142135623731	20.3960780543711	1
ADH1C	16	2	1	1	1	1	1	1	1	1	3	20	1	1	1	2	3	1	2	1	2	2	10	2	13	1	1	9	2	14	17	1	29	1	13	1	17	1	9	1	2	1	1	1	1	1	3	1	2	7	1	19	1	11	2	3	1	3	1	12	1	8	1	11	1	1	1	1	1	1	1	1	1	2	12	1	24	3	10	2	18	2	23	1	34	1	19	1	16	1	15	1	27	2
ADM	19.3154111478742	2.32998610150143	1.34800615459728	1.4142135623731	1.64754897244207	1	1.34800615459728	1	1	1	4.43016905559275	23.7115520935812	1.44224957030741	1	1	1	5.28820314980285	1.4142135623731	1.44224957030741	1.34800615459728	1	1	170.281982591802	4.89329289386682	145.99365216007	3.41422807769237	1.25992104989487	28.4210731655626	1.5130857494229	26.4310560349538	53.8892572289929	1.5130857494229	62.3941801604891	1.44224957030741	33.223849394593	1	23.8610442604625	1	35.8978676789085	2.74945927399721	1.69838132956495	1.81712059283214	1	1	1.5130857494229	1.4142135623731	4.07929780531101	1.64754897244207	1.69838132956495	37.8194487704818	2.28942848510666	19.349255460786	1.25992104989487	17.7691284150427	1	4.16894869534662	1	5.92353043872946	1	29.8612048567615	1.25992104989487	40.055095171483	1.69838132956495	126.579345391394	3.0340013319898	11.9618655603016	4.04801499651532	3.92351940547096	5.99018629619546	6.66363210443767	7.24942961057314	3.6889272467625	3.42703996526253	3.0142333957676	136.257791392855	6.34934581552988	18.7732449138771	1.44224957030741	10.4065117646933	1.5130857494229	27.1278802415731	1.34800615459728	27.1775800006822	1	27.5308119362521	1.5130857494229	23.9899640082336	1	26.5488990307078	1.34800615459728	17.1934945430014	1	26.6887482026212	1
ADORA2A	26	4	2	4	1	2	4	2	3	1	8	26	1	1	3	1	9	3	6	1	6	1	21	1	21	1	3	19	1	21	29	5	45	1	36	1	24	4	36	2	1	5	1	1	2	1	16	1	1	24	1	49	1	44	2	11	1	10	1	26	1	20	1	18	2	1	2	2	1	1	2	1	1	1	21	1	28	2	18	1	39	2	33	1	82	4	54	4	103	3	30	3	73	2
