TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass
COL1A2	COL1A2	All Probes	RNA	Endogenous
STAT4	STAT4	All Probes	RNA	Endogenous
ANLN	ANLN	All Probes	RNA	Endogenous
C5	C5	All Probes	RNA	Endogenous
DDB2	DDB2	All Probes	RNA	Endogenous
SERPING1	SERPING1	All Probes	RNA	Endogenous
AXIN1	AXIN1	All Probes	RNA	Endogenous
PAX8	PAX8	All Probes	RNA	Endogenous
THEM4	THEM4	All Probes	RNA	Endogenous
MAPK8IP2	MAPK8IP2	All Probes	RNA	Endogenous
EGF	EGF	All Probes	RNA	Endogenous
CFP	CFP	All Probes	RNA	Endogenous
MASP1	MASP1	All Probes	RNA	Endogenous
KMT2D	KMT2D	All Probes	RNA	Endogenous
PLA2G6	PLA2G6	All Probes	RNA	Endogenous
MCM7	MCM7	All Probes	RNA	Endogenous
ITK	ITK	All Probes	RNA	Endogenous
PPP2R2B	PPP2R2B	All Probes	RNA	Endogenous
LAIR1	LAIR1	All Probes	RNA	Endogenous
HSPA2	HSPA2	All Probes	RNA	Endogenous
WDR76	WDR76	All Probes	RNA	Endogenous
RUNX1	RUNX1	All Probes	RNA	Endogenous
MAPT	MAPT	All Probes	RNA	Endogenous
IL7R	IL7R	All Probes	RNA	Endogenous
P4HA2	P4HA2	All Probes	RNA	Endogenous
NFKB2	NFKB2	All Probes	RNA	Endogenous
CD33	"Cd27,CD33"	All Probes	RNA	Endogenous
LRRC32	LRRC32	All Probes	RNA	Endogenous
TWIST1	TWIST1	All Probes	RNA	Endogenous
SMC1A	SMC1A	All Probes	RNA	Endogenous
ARID1A	ARID1A	All Probes	RNA	Endogenous
FZD3	FZD3	All Probes	RNA	Endogenous
CASP1	CASP1	All Probes	RNA	Endogenous
PTGER4	PTGER4	All Probes	RNA	Endogenous
C7	C7	All Probes	RNA	Endogenous
CD44	CD44	All Probes	RNA	Endogenous
PTGS2	PTGS2	All Probes	RNA	Endogenous
PRF1	PRF1	All Probes	RNA	Endogenous
CD37	CD37	All Probes	RNA	Endogenous
ESR1	ESR1	All Probes	RNA	Endogenous
RPTOR	RPTOR	All Probes	RNA	Endogenous
FANCE	FANCE	All Probes	RNA	Endogenous
OAS2	OAS2	All Probes	RNA	Endogenous
PPP3CC	PPP3CC	All Probes	RNA	Endogenous
C2	C2	All Probes	RNA	Endogenous
ZBTB16	ZBTB16	All Probes	RNA	Endogenous
ITGA6	ITGA6	All Probes	RNA	Endogenous
MUTYH	MUTYH	All Probes	RNA	Endogenous
CD79B	CD79B	All Probes	RNA	Endogenous
CD3D	CD3D	All Probes	RNA	Endogenous
LCN2	LCN2	All Probes	RNA	Endogenous
GUSB	GUSB	All Probes	RNA	Endogenous
FZD2	FZD2	All Probes	RNA	Endogenous
RICTOR	RICTOR	All Probes	RNA	Endogenous
RAC1	RAC1	All Probes	RNA	Endogenous
BRCA1	BRCA1	All Probes	RNA	Endogenous
AXL	AXL	All Probes	RNA	Endogenous
NF1	NF1	All Probes	RNA	Endogenous
CD83	CD83	All Probes	RNA	Endogenous
CACNB2	CACNB2	All Probes	RNA	Endogenous
BATF3	BATF3	All Probes	RNA	Endogenous
VCAN	VCAN	All Probes	RNA	Endogenous
PLA2G1B	PLA2G1B	All Probes	RNA	Endogenous
CIC	CIC	All Probes	RNA	Endogenous
ITGA3	ITGA3	All Probes	RNA	Endogenous
ITGAV	ITGAV	All Probes	RNA	Endogenous
IL19	IL19	All Probes	RNA	Endogenous
TDO2	TDO2	All Probes	RNA	Endogenous
APH1B	APH1B	All Probes	RNA	Endogenous
COL6A6	COL6A6	All Probes	RNA	Endogenous
C3	C3	All Probes	RNA	Endogenous
SERPINB5	SERPINB5	All Probes	RNA	Endogenous
CD6	CD6	All Probes	RNA	Endogenous
BMP4	BMP4	All Probes	RNA	Endogenous
SH2D1A	SH2D1A	All Probes	RNA	Endogenous
SIRPB2	SIRPB2	All Probes	RNA	Endogenous
CCND1	CCND1	All Probes	RNA	Endogenous
IL26	IL26	All Probes	RNA	Endogenous
STMN1	STMN1	All Probes	RNA	Endogenous
ICOSLG	"ICOSLG,LOC102723996"	All Probes	RNA	Endogenous
CD28	CD28	All Probes	RNA	Endogenous
TRAF2	TRAF2	All Probes	RNA	Endogenous
SREBF1	SREBF1	All Probes	RNA	Endogenous
RFC4	RFC4	All Probes	RNA	Endogenous
CTSH	CTSH	All Probes	RNA	Endogenous
AKT3	AKT3	All Probes	RNA	Endogenous
CACNG6	CACNG6	All Probes	RNA	Endogenous
IBSP	IBSP	All Probes	RNA	Endogenous
DUSP6	DUSP6	All Probes	RNA	Endogenous
ITGB4	ITGB4	All Probes	RNA	Endogenous
