TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass
KAT2B	KAT2B	All Probes	RNA	Endogenous
TFEB	TFEB	All Probes	RNA	Endogenous
TNFRSF10A	TNFRSF10A	All Probes	RNA	Endogenous
ID2	ID2	All Probes	RNA	Endogenous
NR4A3	NR4A3	All Probes	RNA	Endogenous
MMP7	MMP7	All Probes	RNA	Endogenous
CD79A	CD79A	All Probes	RNA	Endogenous
PGF	PGF	All Probes	RNA	Endogenous
IRF4	IRF4	All Probes	RNA	Endogenous
CD9	CD9	All Probes	RNA	Endogenous
CCR9	CCR9	All Probes	RNA	Endogenous
SMARCA4	SMARCA4	All Probes	RNA	Endogenous
CDKN2B	CDKN2B	All Probes	RNA	Endogenous
EFNA1	EFNA1	All Probes	RNA	Endogenous
BST2	BST2	All Probes	RNA	Endogenous
BCL10	BCL10	All Probes	RNA	Endogenous
MYCT1	MYCT1	All Probes	RNA	Endogenous
WNT11	WNT11	All Probes	RNA	Endogenous
SLC2A1	SLC2A1	All Probes	RNA	Endogenous
EIF5AL1	EIF5AL1	All Probes	RNA	Endogenous
SPO11	SPO11	All Probes	RNA	Endogenous
RPS27A	RPS27A	All Probes	RNA	Endogenous
CDK1	CDK1	All Probes	RNA	Endogenous
CYFIP2	CYFIP2	All Probes	RNA	Endogenous
IRAK3	IRAK3	All Probes	RNA	Endogenous
MYD88	MYD88	All Probes	RNA	Endogenous
TAB1	TAB1	All Probes	RNA	Endogenous
VEGFB	VEGFB	All Probes	RNA	Endogenous
APLNR	APLNR	All Probes	RNA	Endogenous
AIRE	AIRE	All Probes	RNA	Endogenous
PTCRA	PTCRA	All Probes	RNA	Endogenous
IGF2R	IGF2R	All Probes	RNA	Endogenous
TNFRSF10B	TNFRSF10B	All Probes	RNA	Endogenous
FLT3	FLT3	All Probes	RNA	Endogenous
F13A1	F13A1	All Probes	RNA	Endogenous
PTPRC	PTPRC	All Probes	RNA	Endogenous
EIF2AK2	EIF2AK2	All Probes	RNA	Endogenous
CXCR2	CXCR2	All Probes	RNA	Endogenous
RPL7A	RPL7A	All Probes	RNA	Endogenous
OTOA	OTOA	All Probes	RNA	Endogenous
JAM3	JAM3	All Probes	RNA	Endogenous
BBC3	BBC3	All Probes	RNA	Endogenous
RASGRF2	RASGRF2	All Probes	RNA	Endogenous
TGFB2	TGFB2	All Probes	RNA	Endogenous
LIFR	LIFR	All Probes	RNA	Endogenous
SDHA	"SDHAP1,SDHAP2,LOC220729,SDHA"	All Probes	RNA	Control
SPRY2	SPRY2	All Probes	RNA	Endogenous
SERPINB2	SERPINB2	All Probes	RNA	Endogenous
ROBO4	ROBO4	All Probes	RNA	Endogenous
ATF2	"ATF2,EIF4EBP2"	All Probes	RNA	Endogenous
DAXX	DAXX	All Probes	RNA	Endogenous
SETD2	SETD2	All Probes	RNA	Endogenous
DDIT4	DDIT4	All Probes	RNA	Endogenous
SAMD9	SAMD9	All Probes	RNA	Endogenous
SIGLEC5	SIGLEC5	All Probes	RNA	Endogenous
S100B	S100B	All Probes	RNA	Endogenous
MMP3	MMP3	All Probes	RNA	Endogenous
CDKN1A	CDKN1A	All Probes	RNA	Endogenous
SOST	SOST	All Probes	RNA	Endogenous
SLC1A5	SLC1A5	All Probes	RNA	Endogenous
CD22	CD22	All Probes	RNA	Endogenous
TNFSF9	TNFSF9	All Probes	RNA	Endogenous
FGF3	FGF3	All Probes	RNA	Endogenous
PCK2	PCK2	All Probes	RNA	Endogenous
IER3	IER3	All Probes	RNA	Endogenous
FGF9	FGF9	All Probes	RNA	Endogenous
C1orf43	C1orf43	All Probes	RNA	Control
TLR3	TLR3	All Probes	RNA	Endogenous
TNFRSF13B	TNFRSF13B	All Probes	RNA	Endogenous
IL16	IL16	All Probes	RNA	Endogenous
EGR2	EGR2	All Probes	RNA	Endogenous
TP53	TP53	All Probes	RNA	Endogenous
CTAGE1	CTAGE1	All Probes	RNA	Endogenous
DTX4	DTX4	All Probes	RNA	Endogenous
RORC	RORC	All Probes	RNA	Endogenous
CD1E	CD1E	All Probes	RNA	Endogenous
PBRM1	PBRM1	All Probes	RNA	Endogenous
NOG	NOG	All Probes	RNA	Endogenous
CACNA1D	CACNA1D	All Probes	RNA	Endogenous
PRKCB	PRKCB	All Probes	RNA	Endogenous
MAD2L2	MAD2L2	All Probes	RNA	Endogenous
CXCL10	CXCL10	All Probes	RNA	Endogenous
CXorf36	DIPK2B	All Probes	RNA	Endogenous
TRAF7	TRAF7	All Probes	RNA	Endogenous
P2RY13	P2RY13	All Probes	RNA	Endogenous
CASP7	CASP7	All Probes	RNA	Endogenous
IL2	IL2	All Probes	RNA	Endogenous
PLAU	PLAU	All Probes	RNA	Endogenous
MECOM	MECOM	All Probes	RNA	Endogenous
PLA2G4E	PLA2G4E	All Probes	RNA	Endogenous
CDC7	CDC7	All Probes	RNA	Endogenous
BRCA2	BRCA2	All Probes	RNA	Endogenous
EWSR1	EWSR1	All Probes	RNA	Endogenous
TBX21	TBX21	All Probes	RNA	Endogenous
TIE1	TIE1	All Probes	RNA	Endogenous
IDO1	IDO1	All Probes	RNA	Endogenous
ICAM4	ICAM4	All Probes	RNA	Endogenous
NFIL3	NFIL3	All Probes	RNA	Endogenous
KRT1	KRT1	All Probes	RNA	Endogenous
KDM6A	KDM6A	All Probes	RNA	Endogenous
PTPRR	PTPRR	All Probes	RNA	Endogenous
KRT6A/B/C	"KRT6A,KRT6B,KRT6C"	All Probes	RNA	Endogenous
COL4A3	COL4A3	All Probes	RNA	Endogenous
SNRPD3	SNRPD3	All Probes	RNA	Control
WNT2	WNT2	All Probes	RNA	Endogenous
GOT1	GOT1	All Probes	RNA	Endogenous
CD164	CD164	All Probes	RNA	Endogenous
SMAD3	SMAD3	All Probes	RNA	Endogenous
CLEC7A	CLEC7A	All Probes	RNA	Endogenous
PAX3	PAX3	All Probes	RNA	Endogenous
ITGB8	ITGB8	All Probes	RNA	Endogenous
CLCF1	CLCF1	All Probes	RNA	Endogenous
GDF6	GDF6	All Probes	RNA	Endogenous
FGF4	FGF4	All Probes	RNA	Endogenous
PPP3CB	PPP3CB	All Probes	RNA	Endogenous
POU2AF1	POU2AF1	All Probes	RNA	Endogenous
PMEL	PMEL	All Probes	RNA	Endogenous
IL10	IL10	All Probes	RNA	Endogenous
CEP55	CEP55	All Probes	RNA	Endogenous
IRF2	IRF2	All Probes	RNA	Endogenous
P4HA1	P4HA1	All Probes	RNA	Endogenous
EDN1	EDN1	All Probes	RNA	Endogenous
SMO	SMO	All Probes	RNA	Endogenous
LILRA1	LILRA1	All Probes	RNA	Endogenous
USP9Y	USP9Y	All Probes	RNA	Endogenous
CLEC14A	CLEC14A	All Probes	RNA	Endogenous
IL21R	IL21R	All Probes	RNA	Endogenous
LEF1	LEF1	All Probes	RNA	Endogenous
CD74	CD74	All Probes	RNA	Endogenous
CD58	CD58	All Probes	RNA	Endogenous
HHIP	HHIP	All Probes	RNA	Endogenous
TBL1XR1	TBL1XR1	All Probes	RNA	Endogenous
LCK	LCK	All Probes	RNA	Endogenous
SMAD2	SMAD2	All Probes	RNA	Endogenous
EPO	EPO	All Probes	RNA	Endogenous
IL5RA	IL5RA	All Probes	RNA	Endogenous
KRT17	KRT17	All Probes	RNA	Endogenous
LTF	LTF	All Probes	RNA	Endogenous
SKP1	SKP1	All Probes	RNA	Endogenous
EZH2	EZH2	All Probes	RNA	Endogenous
CD48	CD48	All Probes	RNA	Endogenous
NODAL	NODAL	All Probes	RNA	Endogenous
MFNG	MFNG	All Probes	RNA	Endogenous
CLEC5A	CLEC5A	All Probes	RNA	Endogenous
GRB2	GRB2	All Probes	RNA	Endogenous
IL2RA	IL2RA	All Probes	RNA	Endogenous
PSMD7	PSMD7	All Probes	RNA	Endogenous
CARD11	CARD11	All Probes	RNA	Endogenous
CDC14A	CDC14A	All Probes	RNA	Endogenous
CLEC6A	CLEC6A	All Probes	RNA	Endogenous
REL	REL	All Probes	RNA	Endogenous
CUL1	CUL1	All Probes	RNA	Endogenous
ATR	ATR	All Probes	RNA	Endogenous
FLNA	FLNA	All Probes	RNA	Endogenous
SHC3	SHC3	All Probes	RNA	Endogenous
CYBB	CYBB	All Probes	RNA	Endogenous
WT1	WT1	All Probes	RNA	Endogenous
CD247	CD247	All Probes	RNA	Endogenous
TNFSF18	TNFSF18	All Probes	RNA	Endogenous
ZBTB32	ZBTB32	All Probes	RNA	Endogenous
LAMP3	LAMP3	All Probes	RNA	Endogenous
LY96	LY96	All Probes	RNA	Endogenous
STAT5B	STAT5B	All Probes	RNA	Endogenous
RRAD	RRAD	All Probes	RNA	Endogenous
CD68	CD68	All Probes	RNA	Endogenous
DEPTOR	DEPTOR	All Probes	RNA	Endogenous
JAK1	JAK1	All Probes	RNA	Endogenous
FUT8	FUT8	All Probes	RNA	Endogenous
EFNA3	EFNA3	All Probes	RNA	Endogenous
PTGDR2	PTGDR2	All Probes	RNA	Endogenous
ACVR1C	ACVR1C	All Probes	RNA	Endogenous
AKT1	AKT1	All Probes	RNA	Endogenous
BCL6B	BCL6B	All Probes	RNA	Endogenous
MED12	MED12	All Probes	RNA	Endogenous
IRAK2	IRAK2	All Probes	RNA	Endogenous
PECAM1	PECAM1	All Probes	RNA	Endogenous
CXCL9	CXCL9	All Probes	RNA	Endogenous
CD1D	CD1D	All Probes	RNA	Endogenous
ADA	ADA	All Probes	RNA	Endogenous
CDC14B	CDC14B	All Probes	RNA	Endogenous
CCL20	CCL20	All Probes	RNA	Endogenous
TMPRSS2	TMPRSS2	All Probes	RNA	Endogenous
CD3E	CD3E	All Probes	RNA	Endogenous
CASP10	CASP10	All Probes	RNA	Endogenous
IL34	IL34	All Probes	RNA	Endogenous
FGF21	FGF21	All Probes	RNA	Endogenous
PBX3	PBX3	All Probes	RNA	Endogenous
PLA1A	PLA1A	All Probes	RNA	Endogenous
SLC7A5	SLC7A5	All Probes	RNA	Endogenous
UTY	UTY	All Probes	RNA	Endogenous
HLA-DPA1	HLA-DPA1	All Probes	RNA	Endogenous
PSMB7	PSMB7	All Probes	RNA	Endogenous
RPS6KA6	RPS6KA6	All Probes	RNA	Endogenous
ALDOC	ALDOC	All Probes	RNA	Endogenous
SPINK5	SPINK5	All Probes	RNA	Endogenous
GPC4	GPC4	All Probes	RNA	Endogenous
IL1RL2	IL1RL2	All Probes	RNA	Endogenous
TNFRSF25	TNFRSF25	All Probes	RNA	Endogenous
MASP2	MASP2	All Probes	RNA	Endogenous
CMA1	CMA1	All Probes	RNA	Endogenous
EXO1	EXO1	All Probes	RNA	Endogenous
DLL3	DLL3	All Probes	RNA	Endogenous
WNT7A	WNT7A	All Probes	RNA	Endogenous
CYLD	CYLD	All Probes	RNA	Endogenous
FAP	FAP	All Probes	RNA	Endogenous
LEFTY1	LEFTY1	All Probes	RNA	Endogenous
PIK3R5	PIK3R5	All Probes	RNA	Endogenous
CD63	CD63	All Probes	RNA	Endogenous
IFI35	IFI35	All Probes	RNA	Endogenous
WNT10A	WNT10A	All Probes	RNA	Endogenous
ITGB2	ITGB2	All Probes	RNA	Endogenous
LAMP2	LAMP2	All Probes	RNA	Endogenous
OAS1	OAS1	All Probes	RNA	Endogenous
MCAM	MCAM	All Probes	RNA	Endogenous
IL1R1	IL1R1	All Probes	RNA	Endogenous
OSM	OSM	All Probes	RNA	Endogenous
IL32	IL32	All Probes	RNA	Endogenous
MARCO	MARCO	All Probes	RNA	Endogenous
GBP4	GBP4	All Probes	RNA	Endogenous
CXCL13	CXCL13	All Probes	RNA	Endogenous
CES3	CES3	All Probes	RNA	Endogenous
TNFSF8	TNFSF8	All Probes	RNA	Endogenous
MNAT1	MNAT1	All Probes	RNA	Endogenous
CD160	"hsp-6,CD160"	All Probes	RNA	Endogenous
ITGA7	ITGA7	All Probes	RNA	Endogenous
PKM	PKM	All Probes	RNA	Endogenous
LOXL2	LOXL2	All Probes	RNA	Endogenous
HPRT1	HPRT1	All Probes	RNA	Endogenous
RAD52	RAD52	All Probes	RNA	Endogenous
CASP9	CASP9	All Probes	RNA	Endogenous
BLK	BLK	All Probes	RNA	Endogenous
CCL5	CCL5	All Probes	RNA	Endogenous
MYC	MYC	All Probes	RNA	Endogenous
MGMT	MGMT	All Probes	RNA	Endogenous
FPR1	FPR1	All Probes	RNA	Endogenous
NSD1	NSD1	All Probes	RNA	Endogenous
FCGRT	FCGRT	All Probes	RNA	Endogenous
CREB3L3	CREB3L3	All Probes	RNA	Endogenous
RPS6KA5	RPS6KA5	All Probes	RNA	Endogenous
CXCR5	CXCR5	All Probes	RNA	Endogenous
SMAD5	SMAD5	All Probes	RNA	Endogenous
SELL	SELL	All Probes	RNA	Endogenous
SPRY1	SPRY1	All Probes	RNA	Endogenous
ITGAM	ITGAM	All Probes	RNA	Endogenous
HLA-DMA	HLA-DMA	All Probes	RNA	Endogenous
FCER1G	FCER1G	All Probes	RNA	Endogenous
FPR2	FPR2	All Probes	RNA	Endogenous
FANCC	FANCC	All Probes	RNA	Endogenous
CCNE2	CCNE2	All Probes	RNA	Endogenous
ATG10	ATG10	All Probes	RNA	Endogenous
CAPN2	CAPN2	All Probes	RNA	Endogenous
JAK2	JAK2	All Probes	RNA	Endogenous
SOS1	SOS1	All Probes	RNA	Endogenous
ELK1	ELK1	All Probes	RNA	Endogenous
MLH1	MLH1	All Probes	RNA	Endogenous
CCNB1	CCNB1	All Probes	RNA	Endogenous
LAMA3	LAMA3	All Probes	RNA	Endogenous
CASP12	CASP12	All Probes	RNA	Endogenous
POLD1	POLD1	All Probes	RNA	Endogenous
FCGR2B	FCGR2B	All Probes	RNA	Endogenous
MLANA	MLANA	All Probes	RNA	Endogenous
CNTFR	CNTFR	All Probes	RNA	Endogenous
IRGM	IRGM	All Probes	RNA	Endogenous
COL4A5	COL4A5	All Probes	RNA	Endogenous
GZMH	GZMH	All Probes	RNA	Endogenous
MYB	MYB	All Probes	RNA	Endogenous
ERBB2	ERBB2	All Probes	RNA	Endogenous
TREM2	TREM2	All Probes	RNA	Endogenous
PSMB8	PSMB8	All Probes	RNA	Endogenous
CARD9	CARD9	All Probes	RNA	Endogenous
ICAM2	ICAM2	All Probes	RNA	Endogenous
MPO	MPO	All Probes	RNA	Endogenous
TPO	TPO	All Probes	RNA	Endogenous
CD40	CD40	All Probes	RNA	Endogenous
IRF3	IRF3	All Probes	RNA	Endogenous
FANCL	FANCL	All Probes	RNA	Endogenous
OLFML2B	OLFML2B	All Probes	RNA	Endogenous
GOT2	GOT2	All Probes	RNA	Endogenous
LY9	LY9	All Probes	RNA	Endogenous
IDH2	IDH2	All Probes	RNA	Endogenous
IL13RA2	IL13RA2	All Probes	RNA	Endogenous
TXK	TXK	All Probes	RNA	Endogenous
WEE1	WEE1	All Probes	RNA	Endogenous
PRKCA	PRKCA	All Probes	RNA	Endogenous
CPA3	CPA3	All Probes	RNA	Endogenous
CCNA2	CCNA2	All Probes	RNA	Endogenous
CD274	CD274	All Probes	RNA	Endogenous
HLA-DMB	HLA-DMB	All Probes	RNA	Endogenous
ANGPT2	ANGPT2	All Probes	RNA	Endogenous
RORA	RORA	All Probes	RNA	Endogenous
SIN3A	SIN3A	All Probes	RNA	Endogenous
PDZK1IP1	PDZK1IP1	All Probes	RNA	Endogenous
COLEC12	COLEC12	All Probes	RNA	Endogenous
RAD51	RAD51	All Probes	RNA	Endogenous
TYK2	TYK2	All Probes	RNA	Endogenous
IL15	IL15	All Probes	RNA	Endogenous
FUBP1	FUBP1	All Probes	RNA	Endogenous
INHBA	INHBA	All Probes	RNA	Endogenous
FN1	FN1	All Probes	RNA	Endogenous
S100A12	S100A12	All Probes	RNA	Endogenous
ALKBH2	ALKBH2	All Probes	RNA	Endogenous
ECSIT	ECSIT	All Probes	RNA	Endogenous
CACNA1E	CACNA1E	All Probes	RNA	Endogenous
ITGA9	ITGA9	All Probes	RNA	Endogenous
PRG2	PRG2	All Probes	RNA	Endogenous
NOS2	NOS2	All Probes	RNA	Endogenous
FEZ1	FEZ1	All Probes	RNA	Endogenous
DTX1	DTX1	All Probes	RNA	Endogenous
ITGA2B	ITGA2B	All Probes	RNA	Endogenous
BCL2	BCL2	All Probes	RNA	Endogenous
C1QB	C1QB	All Probes	RNA	Endogenous
CACNG1	CACNG1	All Probes	RNA	Endogenous
LAMB4	LAMB4	All Probes	RNA	Endogenous
CDH5	CDH5	All Probes	RNA	Endogenous
GIMAP6	GIMAP6	All Probes	RNA	Endogenous
SMAD9	SMAD9	All Probes	RNA	Endogenous
TTK	TTK	All Probes	RNA	Endogenous
B2M	B2M	All Probes	RNA	Endogenous
XCR1	XCR1	All Probes	RNA	Endogenous
C1R	C1R	All Probes	RNA	Endogenous
C1QA	C1QA	All Probes	RNA	Endogenous
COMP	COMP	All Probes	RNA	Endogenous
SOCS3	SOCS3	All Probes	RNA	Endogenous
PLCB4	PLCB4	All Probes	RNA	Endogenous
LAT	LAT	All Probes	RNA	Endogenous
LAMC2	LAMC2	All Probes	RNA	Endogenous
SIGLEC1	SIGLEC1	All Probes	RNA	Endogenous
H2AFX	H2AX	All Probes	RNA	Endogenous
NFKBIE	NFKBIE	All Probes	RNA	Endogenous
ITGA8	ITGA8	All Probes	RNA	Endogenous
PRKDC	PRKDC	All Probes	RNA	Endogenous
LY6E	LY6E	All Probes	RNA	Endogenous
CACNA1G	CACNA1G	All Probes	RNA	Endogenous
HDAC1	HDAC1	All Probes	RNA	Endogenous
XRCC4	XRCC4	All Probes	RNA	Endogenous
FCGR2A	FCGR2A	All Probes	RNA	Endogenous
LRP2	LRP2	All Probes	RNA	Endogenous
ICAM3	ICAM3	All Probes	RNA	Endogenous
NFATC3	NFATC3	All Probes	RNA	Endogenous
HIF1A	HIF1A	All Probes	RNA	Endogenous
CHEK1	CHEK1	All Probes	RNA	Endogenous
TMEM173	STING1	All Probes	RNA	Endogenous
TUBB	TUBB	All Probes	RNA	Control
SPP1	SPP1	All Probes	RNA	Endogenous
NTF3	NTF3	All Probes	RNA	Endogenous
TNFSF10	TNFSF10	All Probes	RNA	Endogenous
CFI	CFI	All Probes	RNA	Endogenous
IKBKG	IKBKG	All Probes	RNA	Endogenous
PIK3R3	PIK3R3	All Probes	RNA	Endogenous
LDHB	LDHB	All Probes	RNA	Endogenous
DDIT3	DDIT3	All Probes	RNA	Endogenous
IKBKE	IKBKE	All Probes	RNA	Endogenous
ACVR1B	ACVR1B	All Probes	RNA	Endogenous
PDCD1LG2	PDCD1LG2	All Probes	RNA	Endogenous
CDC20	CDC20	All Probes	RNA	Endogenous
POU2F2	POU2F2	All Probes	RNA	Endogenous
PLAT	PLAT	All Probes	RNA	Endogenous
PAK3	PAK3	All Probes	RNA	Endogenous
SELPLG	SELPLG	All Probes	RNA	Endogenous
STK11IP	STK11IP	All Probes	RNA	Endogenous
PSMB10	PSMB10	All Probes	RNA	Endogenous
MAPK3	MAPK3	All Probes	RNA	Endogenous
SH2B2	SH2B2	All Probes	RNA	Endogenous
HEY1	HEY1	All Probes	RNA	Endogenous
ETS2	ETS2	All Probes	RNA	Endogenous
PPARGC1A	PPARGC1A	All Probes	RNA	Endogenous
SLAMF6	SLAMF6	All Probes	RNA	Endogenous
VSIR	VSIR	All Probes	RNA	Endogenous
IL1RN	IL1RN	All Probes	RNA	Endogenous
POLR2A	POLR2A	All Probes	RNA	Control
TXNIP	TXNIP	All Probes	RNA	Endogenous
DTX3L	DTX3L	All Probes	RNA	Endogenous
HOXA10	HOXA10	All Probes	RNA	Endogenous
GTF2H3	GTF2H3	All Probes	RNA	Endogenous
ATF1	ATF1	All Probes	RNA	Endogenous
KIT	KIT	All Probes	RNA	Endogenous
MCM2	MCM2	All Probes	RNA	Endogenous
FLT1	FLT1	All Probes	RNA	Endogenous
CXCR3	CXCR3	All Probes	RNA	Endogenous
PIK3CD	PIK3CD	All Probes	RNA	Endogenous
ITGB6	ITGB6	All Probes	RNA	Endogenous
FCER2	FCER2	All Probes	RNA	Endogenous
TNFRSF8	TNFRSF8	All Probes	RNA	Endogenous
CXCL14	CXCL14	All Probes	RNA	Endogenous
TMEM140	TMEM140	All Probes	RNA	Endogenous
CBL	CBL	All Probes	RNA	Endogenous
DUSP1	DUSP1	All Probes	RNA	Endogenous
BBS1	BBS1	All Probes	RNA	Endogenous
FCGR3B	FCGR3B	All Probes	RNA	Endogenous
GADD45B	GADD45B	All Probes	RNA	Endogenous
RET	RET	All Probes	RNA	Endogenous
G6PD	G6PD	All Probes	RNA	Endogenous
NKD1	NKD1	All Probes	RNA	Endogenous
CXCL12	CXCL12	All Probes	RNA	Endogenous
EGR1	EGR1	All Probes	RNA	Endogenous
KRT10	KRT10	All Probes	RNA	Endogenous
RASGRF1	RASGRF1	All Probes	RNA	Endogenous
POLR2D	POLR2D	All Probes	RNA	Endogenous
MKI67	MKI67	All Probes	RNA	Endogenous
CD59	CD59	All Probes	RNA	Endogenous
ZNF205	ZNF205	All Probes	RNA	Endogenous
IDH1	IDH1	All Probes	RNA	Endogenous
AQP9	AQP9	All Probes	RNA	Endogenous
BLM	BLM	All Probes	RNA	Endogenous
PIK3R2	PIK3R2	All Probes	RNA	Endogenous
CACNB3	CACNB3	All Probes	RNA	Endogenous
IL18RAP	IL18RAP	All Probes	RNA	Endogenous
CD209	CD209	All Probes	RNA	Endogenous
SFRP2	SFRP2	All Probes	RNA	Endogenous
SAMSN1	SAMSN1	All Probes	RNA	Endogenous
TAF3	TAF3	All Probes	RNA	Endogenous
CACNA2D2	CACNA2D2	All Probes	RNA	Endogenous
RELA	RELA	All Probes	RNA	Endogenous
HDAC6	HDAC6	All Probes	RNA	Endogenous
TCF7L1	TCF7L1	All Probes	RNA	Endogenous
COL5A1	COL5A1	All Probes	RNA	Endogenous
MDM2	MDM2	All Probes	RNA	Endogenous
CD27	CD27	All Probes	RNA	Endogenous
PALMD	PALMD	All Probes	RNA	Endogenous
CDC25A	CDC25A	All Probes	RNA	Endogenous
BAIAP3	BAIAP3	All Probes	RNA	Endogenous
PDGFC	PDGFC	All Probes	RNA	Endogenous
NBN	NBN	All Probes	RNA	Endogenous
CR1	CR1	All Probes	RNA	Endogenous
HDAC2	HDAC2	All Probes	RNA	Endogenous
SOS2	SOS2	All Probes	RNA	Endogenous
IL6	IL6	All Probes	RNA	Endogenous
MMP9	MMP9	All Probes	RNA	Endogenous
MX1	MX1	All Probes	RNA	Endogenous
NLRP3	NLRP3	All Probes	RNA	Endogenous
PDK1	PDK1	All Probes	RNA	Endogenous
TIAM1	TIAM1	All Probes	RNA	Endogenous
RAG1	RAG1	All Probes	RNA	Endogenous
HES5	HES5	All Probes	RNA	Endogenous
LAMB3	LAMB3	All Probes	RNA	Endogenous
ETV7	ETV7	All Probes	RNA	Endogenous
TWF1	TWF1	All Probes	RNA	Endogenous
IL22	IL22	All Probes	RNA	Endogenous
API5	API5	All Probes	RNA	Endogenous
CCL11	CCL11	All Probes	RNA	Endogenous
VHL	VHL	All Probes	RNA	Endogenous
JAG2	JAG2	All Probes	RNA	Endogenous
MSH6	MSH6	All Probes	RNA	Endogenous
FGF5	FGF5	All Probes	RNA	Endogenous
IRAK4	IRAK4	All Probes	RNA	Endogenous
IL2RB	IL2RB	All Probes	RNA	Endogenous
JUN	JUN	All Probes	RNA	Endogenous
NFATC4	NFATC4	All Probes	RNA	Endogenous
IL5	IL5	All Probes	RNA	Endogenous
ANGPT1	ANGPT1	All Probes	RNA	Endogenous
CACNA1C	CACNA1C	All Probes	RNA	Endogenous
MCM5	MCM5	All Probes	RNA	Endogenous
SOX9	SOX9	All Probes	RNA	Endogenous
CCNO	CCNO	All Probes	RNA	Endogenous
DKK4	DKK4	All Probes	RNA	Endogenous
TWIST2	TWIST2	All Probes	RNA	Endogenous
PLA2G2A	PLA2G2A	All Probes	RNA	Endogenous
PRKACA	PRKACA	All Probes	RNA	Endogenous
CD207	CD207	All Probes	RNA	Endogenous
IL9	IL9	All Probes	RNA	Endogenous
MS4A6A	MS4A6A	All Probes	RNA	Endogenous
MAPKAPK2	MAPKAPK2	All Probes	RNA	Endogenous
RHOA	RHOA	All Probes	RNA	Endogenous
MAPK8	MAPK8	All Probes	RNA	Endogenous
CD84	CD84	All Probes	RNA	Endogenous
ROPN1	ROPN1	All Probes	RNA	Endogenous
SETBP1	SETBP1	All Probes	RNA	Endogenous
TGFBR1	TGFBR1	All Probes	RNA	Endogenous
SMC1B	SMC1B	All Probes	RNA	Endogenous
BST1	BST1	All Probes	RNA	Endogenous
ZIC2	ZIC2	All Probes	RNA	Endogenous
DEFB1	DEFB1	All Probes	RNA	Endogenous
LRRN3	LRRN3	All Probes	RNA	Endogenous
IL23A	IL23A	All Probes	RNA	Endogenous
RASAL1	RASAL1	All Probes	RNA	Endogenous
CREB3L1	CREB3L1	All Probes	RNA	Endogenous
CCL21	CCL21	All Probes	RNA	Endogenous
ROR2	ROR2	All Probes	RNA	Endogenous
HHEX	HHEX	All Probes	RNA	Endogenous
PRR5	PRR5	All Probes	RNA	Endogenous
HK1	HK1	All Probes	RNA	Endogenous
PIAS4	PIAS4	All Probes	RNA	Endogenous
KLRD1	KLRD1	All Probes	RNA	Endogenous
STAT2	STAT2	All Probes	RNA	Endogenous
THY1	THY1	All Probes	RNA	Endogenous
ELOB	ELOB	All Probes	RNA	Endogenous
SIRPA	SIRPA	All Probes	RNA	Endogenous
TSLP	TSLP	All Probes	RNA	Endogenous
KMT2C	KMT2C	All Probes	RNA	Endogenous
GMIP	GMIP	All Probes	RNA	Endogenous
GNA11	GNA11	All Probes	RNA	Endogenous
NPM2	NPM2	All Probes	RNA	Endogenous
EFNA2	EFNA2	All Probes	RNA	Endogenous
MSH2	MSH2	All Probes	RNA	Endogenous
SUV39H2	SUV39H2	All Probes	RNA	Endogenous
C9	"Camkk1,C9"	All Probes	RNA	Endogenous
KRAS	KRAS	All Probes	RNA	Endogenous
NFE2L2	NFE2L2	All Probes	RNA	Endogenous
IL17F	IL17F	All Probes	RNA	Endogenous
ITGA2	ITGA2	All Probes	RNA	Endogenous
POLB	POLB	All Probes	RNA	Endogenous
ATM	ATM	All Probes	RNA	Endogenous
CD96	CD96	All Probes	RNA	Endogenous
RPS6KB1	RPS6KB1	All Probes	RNA	Endogenous
WNT16	WNT16	All Probes	RNA	Endogenous
DAB2	DAB2	All Probes	RNA	Endogenous
GPI	GPI	All Probes	RNA	Control
C1S	C1S	All Probes	RNA	Endogenous
MAP3K13	MAP3K13	All Probes	RNA	Endogenous
SFXN1	SFXN1	All Probes	RNA	Endogenous
ETV1	ETV1	All Probes	RNA	Endogenous
A2M	A2M	All Probes	RNA	Endogenous
ENG	ENG	All Probes	RNA	Endogenous
RPS6	RPS6	All Probes	RNA	Endogenous
HLA-DOB	HLA-DOB	All Probes	RNA	Endogenous
TARP	TARP	All Probes	RNA	Endogenous
IFNAR2	IFNAR2	All Probes	RNA	Endogenous
TREM1	TREM1	All Probes	RNA	Endogenous
COL5A2	COL5A2	All Probes	RNA	Endogenous
PRKAR2B	PRKAR2B	All Probes	RNA	Endogenous
CCL13	CCL13	All Probes	RNA	Endogenous
CALML6	CALML6	All Probes	RNA	Endogenous
HLA-DOA	HLA-DOA	All Probes	RNA	Endogenous
WNT10B	WNT10B	All Probes	RNA	Endogenous
CAMK2B	CAMK2B	All Probes	RNA	Endogenous
GADD45G	GADD45G	All Probes	RNA	Endogenous
MYCN	MYCN	All Probes	RNA	Endogenous
FCRL2	FCRL2	All Probes	RNA	Endogenous
MAP2K4	MAP2K4	All Probes	RNA	Endogenous
FOXL2	FOXL2	All Probes	RNA	Endogenous
SIX1	SIX1	All Probes	RNA	Endogenous
FGF11	FGF11	All Probes	RNA	Endogenous
FBP1	FBP1	All Probes	RNA	Endogenous
